Date,Ticker,Risk Group,Frequency,Predicted,Actual
2024-10-24 20:00:00+00:00,ETH-USD,Low,hourly,-12.90496377060694,-15.245007999696352
2024-10-24 21:00:00+00:00,ETH-USD,Low,hourly,-12.487325838602708,-14.524016588017828
2024-10-24 22:00:00+00:00,ETH-USD,Low,hourly,-12.853539593324125,-12.061494317438962
2024-10-24 23:00:00+00:00,ETH-USD,Low,hourly,-12.879846854071106,-13.139138519716662
2024-10-25 00:00:00+00:00,ETH-USD,Low,hourly,-12.753066744593575,-10.60649870803051
2024-10-25 01:00:00+00:00,ETH-USD,Low,hourly,-13.391906777071073,-12.511782313665956
2024-10-25 02:00:00+00:00,ETH-USD,Low,hourly,-12.61388879178958,-13.093978819870744
2024-10-25 03:00:00+00:00,ETH-USD,Low,hourly,-12.647177381659821,-16.382882310449105
2024-10-25 04:00:00+00:00,ETH-USD,Low,hourly,-12.723216333456808,-8.820027535582033
2024-10-25 05:00:00+00:00,ETH-USD,Low,hourly,-13.258394199937452,-13.562687148679837
2024-10-25 06:00:00+00:00,ETH-USD,Low,hourly,-12.643048096479879,-12.660662941380386
2024-10-25 07:00:00+00:00,ETH-USD,Low,hourly,-12.786890383429403,-11.719754802194094
2024-10-25 08:00:00+00:00,ETH-USD,Low,hourly,-12.541748055772345,-8.542575827054318
2024-10-25 09:00:00+00:00,ETH-USD,Low,hourly,-12.892712459992241,-9.503606077222816
2024-10-25 10:00:00+00:00,ETH-USD,Low,hourly,-12.353607047463665,-13.584707201466124
2024-10-25 11:00:00+00:00,ETH-USD,Low,hourly,-12.09433986859338,-13.509034825172291
2024-10-25 12:00:00+00:00,ETH-USD,Low,hourly,-12.306797803773165,-11.858854688475745
2024-10-25 13:00:00+00:00,ETH-USD,Low,hourly,-12.27014939559014,-10.46978113973347
2024-10-25 14:00:00+00:00,ETH-USD,Low,hourly,-12.110144429385501,-11.504542631480705
2024-10-25 15:00:00+00:00,ETH-USD,Low,hourly,-12.503204486051962,-9.73029229045578
2024-10-25 16:00:00+00:00,ETH-USD,Low,hourly,-11.898582358355606,-11.445791165701564
2024-10-25 17:00:00+00:00,ETH-USD,Low,hourly,-11.84564388187795,-8.113297550381183
2024-10-25 18:00:00+00:00,ETH-USD,Low,hourly,-11.719261192100527,-11.363685315360444
2024-10-25 19:00:00+00:00,ETH-USD,Low,hourly,-11.185893423546224,-12.659554633270984
2024-10-25 20:00:00+00:00,ETH-USD,Low,hourly,-11.62028477490406,-14.867053182335724
2024-10-25 21:00:00+00:00,ETH-USD,Low,hourly,-11.657864765644282,-10.060076756613665
2024-10-25 22:00:00+00:00,ETH-USD,Low,hourly,-11.752487102099057,-9.240358852147915
2024-10-25 23:00:00+00:00,ETH-USD,Low,hourly,-11.682539332321753,-8.646228183995682
2024-10-26 00:00:00+00:00,ETH-USD,Low,hourly,-11.21080192063801,-11.291651241818183
2024-10-26 01:00:00+00:00,ETH-USD,Low,hourly,-11.129507089966761,-14.37433334704404
2024-10-26 02:00:00+00:00,ETH-USD,Low,hourly,-11.198386013189731,-13.717735551720306
2024-10-26 03:00:00+00:00,ETH-USD,Low,hourly,-11.811434853651479,-11.609809678835598
2024-10-26 04:00:00+00:00,ETH-USD,Low,hourly,-11.314294107133849,-11.5497062644668
