Ticker,Frequency_80_20,Risk Group_80_20,MSE_80_20,R²_80_20,Frequency_50_50,Risk Group_50_50,MSE_50_50,R²_50_50,MSE_Difference,R²_Difference
ETH-USD,hourly,Low,5.5462054977079,0.017275771971809295,hourly,Low,5.934582971468532,0.0314363870958425,-0.3883774737606318,-0.014160615124033202
BTC-USD,hourly,Low,5.765823166407831,0.028000724480785166,hourly,Low,6.100476145958836,0.0379744109764036,-0.3346529795510049,-0.00997368649561843
XRP-USD,hourly,Medium,5.9548682932452195,0.12683704414137853,hourly,Medium,6.050096291555469,0.1374188863572468,-0.09522799831024908,-0.010581842215868276
SOL-USD,hourly,High,6.273524965740525,-0.07426221373887665,hourly,High,6.511406369727041,-0.0776801652918262,-0.23788140398651603,0.0034179515529495497
DOGE-USD,hourly,High,6.6120324755435895,-0.059972416353644586,hourly,High,6.524613660853849,-0.0442277366468804,0.08741881468974011,-0.015744679706764186
