,forecast
2160,0.0005059926840440206
2161,0.00038482036622407436
2162,0.00047396673163253774
2163,0.0007858758025847951
2164,0.000588943028989265
2165,0.0007610551743869982
2166,0.0008393049527593004
2167,0.0008441837049155716
2168,0.0005137450505766903
2169,0.00048463012642599673
2170,0.0011007005649826917
2171,0.001581157026286083
2172,0.0013023352876089737
2173,0.001281823861062348
2174,0.0012576443812199064
2175,0.0008425814703774845
2176,0.0008438893703725566
2177,0.0009370948368946572
2178,0.0007190385355340293
2179,0.0010701571828488873
2180,0.0014797149409171279
2181,0.0018626078248242066
2182,0.0009474143083692034
2183,0.0015744880671707002
2184,0.004054548016386908
2185,0.0038451163658638735
2186,0.009838875387069804
2187,0.012905873313469205
2188,0.005369323863620529
2189,0.002708452518281186
2190,0.001981380505404281
2191,0.0023200235026530304
2192,0.0015031539582997697
2193,0.0022688467999090705
2194,0.0021996441521233852
2195,0.0017039822917478843
2196,0.0007743199537842625
2197,0.0008058480552314106
2198,0.0011626692800669229
2199,0.001011400828574147
2200,0.0011024949604728459
2201,0.002791501804956266
2202,0.0039722533188322725
2203,0.0016653703434691533
2204,0.0010354457043861521
2205,0.0017875766634163634
2206,0.001393763995049232
2207,0.002123214638391232
2208,0.001631312465789331
2209,0.001344296009492631
2210,0.000721077194940679
2211,0.0007124900063618626
2212,0.0010509327683303794
2213,0.0024121372480189556
2214,0.0016670888651883324
2215,0.0010009923313395626
2216,0.002360053139147997
2217,0.0035837075179271103
2218,0.004453591289641913
2219,0.013771037080447756
2220,0.009670820896013994
2221,0.015228830972910458
2222,0.007794987440864826
2223,0.004439986381465616
2224,0.010590962118619391
2225,0.008010687100696964
2226,0.005055344479124332
2227,0.0034911620779805573
2228,0.0020679194034927536
2229,0.0022511554584885873
2230,0.002863483543511625
2231,0.002418501593207096
2232,0.00239387488130255
2233,0.0018714673457709175
2234,0.0019585246563318982
2235,0.0022067999836967163
2236,0.0030588312771553236
2237,0.003526331629557908
2238,0.0018330266687244352
2239,0.0014354524001066573
2240,0.0019222741036327186
2241,0.0022509296143059924
2242,0.0027184086468689497
2243,0.0021597735205274933
2244,0.002556515266924513
2245,0.001122947691800479
2246,0.001364100626897064
2247,0.001625878725789621
2248,0.0019489638679010444
2249,0.0034491795119315043
2250,0.0023184264807625116
2251,0.0024054302037329117
2252,0.0035032966351867785
2253,0.0028012447337379073
2254,0.003834889754625612
2255,0.004802650157375991
2256,0.0040016760620931536
2257,0.003303976307670862
2258,0.003027675993932812
2259,0.0021664167731360734
2260,0.0024037716829266326
2261,0.003431804583505777
2262,0.00298327665827236
2263,0.00383144780073586
2264,0.003781195385566784
2265,0.003705745571431195
2266,0.002179591192242553
2267,0.0016981652727222928
2268,0.0018416860577509997
2269,0.0024730066598272595
2270,0.0018841941185972209
2271,0.001783785761715751
2272,0.0022997121367054636
2273,0.0013217910128213786
2274,0.0008169239877924717
2275,0.0011213097377105934
2276,0.001266163288183053
2277,0.0024364903767104163
2278,0.0018306971858209782
2279,0.001273835648353086
2280,0.0010380714045072222
2281,0.0010266055939813542
2282,0.0015394537240999964
2283,0.0011944146933760185
2284,0.001797792786029339
2285,0.001155779479142595
2286,0.0038941883576685842
2287,0.0018244502165926542
2288,0.0015373163579949095
2289,0.001931826768520322
2290,0.0021724126115496875
2291,0.001586560044816749
2292,0.0011638831308036178
2293,0.0034053623490479814
2294,0.00210830101725442
2295,0.0014885455020535875
2296,0.001730350063633863
2297,0.002204279546153841
2298,0.002555808996243499
2299,0.002015840241501481
2300,0.0021389711968788448
2301,0.0011138809347515136
2302,0.0007279645552743761
2303,0.0008504939004357547
2304,0.001826057557918325
2305,0.002077618378876596
2306,0.001927777204998575
2307,0.0018016815016150775
2308,0.0012480780257512424
2309,0.0009751713924192144
2310,0.0014237360105072904
2311,0.0036341016780033356
2312,0.0021028085926975706
2313,0.004408394106861426
2314,0.002858504421783202
2315,0.0011847021604445306
2316,0.0026290477073329446
2317,0.0030083410268522816
2318,0.0024056901478107214
2319,0.004844611805021831
2320,0.002841298425167482
2321,0.0031426867328998172
2322,0.0014146520341181774
2323,0.0011854366479725762
2324,0.001990302633434009
2325,0.0018724849995347466
2326,0.0021278446786232347
2327,0.0019035090836671258
2328,0.0019445107172868163
2329,0.0005849452094911663
2330,0.000796404952398374
2331,0.0009491135550611071
2332,0.0007952846627333527
2333,0.0007049483131909357
2334,0.0008341194505598145
2335,0.0006881496604735616
2336,0.0003024487823875849
2337,0.00027027597863829616
2338,0.0004760116445608174
2339,0.0005059056732066632
2340,0.000318997217227519
2341,0.0017015283000798246
2342,0.0008812969981770521
2343,0.0004121606764274398
2344,0.0005156031090457374
2345,0.00045323839159281954
2346,0.0005916015538129172
