Coin,Risk,Mean,SD,Min,Max
BTC-USD,Low Risk,-12.999953596708837,2.53335594081843,-27.7016004371998,-5.571499987440904
ETH-USD,Low Risk,-12.789052506538878,2.5887018960204715,-32.09838301333346,-5.214327916767682
XRP-USD,Medium Risk,-12.265120378487968,2.5509535345345884,-26.430015251625537,-3.0430251262826213
DOGE-USD,High Risk,-12.126308991314755,2.7249691965709792,-31.871271966464708,-3.490636244023342
SOL-USD,High Risk,-11.200827829171294,2.51874337523559,-26.51094529403173,-3.756426116531864
