Date,Ticker,Frequency,Predicted
2023-05-04 00:00:00+00:00,BTC-USD,hourly,-12.546642608105621
2023-05-05 00:00:00+00:00,BTC-USD,hourly,-11.991562712540338
2023-05-06 00:00:00+00:00,BTC-USD,hourly,-12.814424085149449
2023-05-07 00:00:00+00:00,BTC-USD,hourly,-12.323242398644986
2023-05-08 00:00:00+00:00,BTC-USD,hourly,-13.208183890428696
2023-05-09 00:00:00+00:00,BTC-USD,hourly,-12.136939341349219
2023-05-10 00:00:00+00:00,BTC-USD,hourly,-12.532063414524819
2023-05-11 00:00:00+00:00,BTC-USD,hourly,-12.81182533132532
2023-05-12 00:00:00+00:00,BTC-USD,hourly,-11.851764269797727
2023-05-13 00:00:00+00:00,BTC-USD,hourly,-12.589608921252768
2023-05-14 00:00:00+00:00,BTC-USD,hourly,-12.07701146699564
2023-05-15 00:00:00+00:00,BTC-USD,hourly,-12.976324884951808
2023-05-17 00:00:00+00:00,BTC-USD,hourly,-14.059332734329491
2023-05-18 00:00:00+00:00,BTC-USD,hourly,-12.890631569116572
2023-05-19 00:00:00+00:00,BTC-USD,hourly,-12.57255557588022
2023-05-20 00:00:00+00:00,BTC-USD,hourly,-12.269804944987015
2023-05-21 00:00:00+00:00,BTC-USD,hourly,-13.72407520868326
2023-05-22 00:00:00+00:00,BTC-USD,hourly,-13.231940903513355
2023-05-23 00:00:00+00:00,BTC-USD,hourly,-13.193485304040934
2023-05-24 00:00:00+00:00,BTC-USD,hourly,-13.230816696793834
2023-05-25 00:00:00+00:00,BTC-USD,hourly,-13.224621060968357
2023-05-26 00:00:00+00:00,BTC-USD,hourly,-13.237260109629897
2023-05-27 00:00:00+00:00,BTC-USD,hourly,-13.430053392454186
2023-05-28 00:00:00+00:00,BTC-USD,hourly,-13.382095904240247
2023-05-29 00:00:00+00:00,BTC-USD,hourly,-13.291187683463585
2023-05-30 00:00:00+00:00,BTC-USD,hourly,-12.792498853375324
2023-05-31 00:00:00+00:00,BTC-USD,hourly,-12.885011586274597
2023-06-01 00:00:00+00:00,BTC-USD,hourly,-13.00739796275231
2023-06-02 00:00:00+00:00,BTC-USD,hourly,-12.667274234678038
2023-06-03 00:00:00+00:00,BTC-USD,hourly,-12.454692996190412
2023-06-04 00:00:00+00:00,BTC-USD,hourly,-13.106370570777013
2023-06-05 00:00:00+00:00,BTC-USD,hourly,-13.805603415244164
2023-06-06 00:00:00+00:00,BTC-USD,hourly,-12.85501787275772
2023-06-07 00:00:00+00:00,BTC-USD,hourly,-12.391917519626272
2023-06-08 00:00:00+00:00,BTC-USD,hourly,-12.175290824527305
2023-06-09 00:00:00+00:00,BTC-USD,hourly,-12.173800688979785
2023-06-10 00:00:00+00:00,BTC-USD,hourly,-12.752845207383189
2023-06-11 00:00:00+00:00,BTC-USD,hourly,-13.526982708954517
2023-06-12 00:00:00+00:00,BTC-USD,hourly,-12.290309572290138
2023-06-13 00:00:00+00:00,BTC-USD,hourly,-12.882583136726392
2023-06-14 00:00:00+00:00,BTC-USD,hourly,-13.221340616478866
2023-06-15 00:00:00+00:00,BTC-USD,hourly,-12.64585984005086
2023-06-16 00:00:00+00:00,BTC-USD,hourly,-11.83985160861183
2023-06-17 00:00:00+00:00,BTC-USD,hourly,-12.75255418607449
2023-06-18 00:00:00+00:00,BTC-USD,hourly,-12.684136143093635
2023-06-19 00:00:00+00:00,BTC-USD,hourly,-12.80569586825963
2023-06-20 00:00:00+00:00,BTC-USD,hourly,-12.95588087487193
2023-06-21 00:00:00+00:00,BTC-USD,hourly,-12.806387987447257
2023-06-22 00:00:00+00:00,BTC-USD,hourly,-12.119864571835434
2023-06-23 00:00:00+00:00,BTC-USD,hourly,-12.123081618628195
2023-06-24 00:00:00+00:00,BTC-USD,hourly,-12.77788509785705
2023-06-25 00:00:00+00:00,BTC-USD,hourly,-12.293657124705437
2023-06-26 00:00:00+00:00,BTC-USD,hourly,-13.3382260687107
2023-06-27 00:00:00+00:00,BTC-USD,hourly,-13.156713461037985
2023-06-28 00:00:00+00:00,BTC-USD,hourly,-12.719079962270857
2023-06-29 00:00:00+00:00,BTC-USD,hourly,-12.453433363033195
2023-06-30 00:00:00+00:00,BTC-USD,hourly,-13.211948846863333
2023-07-01 00:00:00+00:00,BTC-USD,hourly,-13.084226196898019
2023-07-02 00:00:00+00:00,BTC-USD,hourly,-13.330871290529874
2023-07-03 00:00:00+00:00,BTC-USD,hourly,-14.337947638834638
2023-07-04 00:00:00+00:00,BTC-USD,hourly,-13.296924896728733
2023-07-05 00:00:00+00:00,BTC-USD,hourly,-13.074272343884129
2023-07-06 00:00:00+00:00,BTC-USD,hourly,-13.16458868193766
2023-07-07 00:00:00+00:00,BTC-USD,hourly,-12.938913104528558
2023-07-08 00:00:00+00:00,BTC-USD,hourly,-11.824801858003102
2023-07-09 00:00:00+00:00,BTC-USD,hourly,-13.30976642042969
2023-07-10 00:00:00+00:00,BTC-USD,hourly,-13.29195564228984
2023-07-11 00:00:00+00:00,BTC-USD,hourly,-13.879201631518113
2023-07-12 00:00:00+00:00,BTC-USD,hourly,-12.198471881115365
2023-07-13 00:00:00+00:00,BTC-USD,hourly,-13.174232788795218
2023-07-14 00:00:00+00:00,BTC-USD,hourly,-13.154637636784656
2023-07-15 00:00:00+00:00,BTC-USD,hourly,-12.070870066288112
2023-07-16 00:00:00+00:00,BTC-USD,hourly,-12.40626177142829
2023-07-17 00:00:00+00:00,BTC-USD,hourly,-15.469324258897664
2023-07-18 00:00:00+00:00,BTC-USD,hourly,-13.221347916466133
2023-07-19 00:00:00+00:00,BTC-USD,hourly,-12.749729376027734
2023-07-20 00:00:00+00:00,BTC-USD,hourly,-13.090169504303223
2023-07-21 00:00:00+00:00,BTC-USD,hourly,-13.021818790898152
2023-07-22 00:00:00+00:00,BTC-USD,hourly,-12.912237555289327
2023-07-23 00:00:00+00:00,BTC-USD,hourly,-13.62902952445134
2023-07-24 00:00:00+00:00,BTC-USD,hourly,-13.786575706300582
2023-07-25 00:00:00+00:00,BTC-USD,hourly,-12.755927086501892
2023-07-26 00:00:00+00:00,BTC-USD,hourly,-13.043991541888328
2023-07-27 00:00:00+00:00,BTC-USD,hourly,-13.70543229202326
2023-07-28 00:00:00+00:00,BTC-USD,hourly,-12.60084146972202
2023-07-29 00:00:00+00:00,BTC-USD,hourly,-13.559662979994446
2023-07-30 00:00:00+00:00,BTC-USD,hourly,-13.441896723047794
2023-07-31 00:00:00+00:00,BTC-USD,hourly,-15.087706621140798
2023-08-01 00:00:00+00:00,BTC-USD,hourly,-12.802113054366643
2023-08-02 00:00:00+00:00,BTC-USD,hourly,-13.476007931608198
2023-08-03 00:00:00+00:00,BTC-USD,hourly,-11.755390345187703
2023-08-04 00:00:00+00:00,BTC-USD,hourly,-13.327248735826423
2023-08-05 00:00:00+00:00,BTC-USD,hourly,-13.176906534568767
2023-08-06 00:00:00+00:00,BTC-USD,hourly,-13.189815501055385
2023-08-07 00:00:00+00:00,BTC-USD,hourly,-14.11678600872812
2023-08-08 00:00:00+00:00,BTC-USD,hourly,-14.19716987517386
2023-08-09 00:00:00+00:00,BTC-USD,hourly,-13.378321717083384
2023-08-10 00:00:00+00:00,BTC-USD,hourly,-13.512507089685498
2023-08-11 00:00:00+00:00,BTC-USD,hourly,-13.575291385535916
2023-08-12 00:00:00+00:00,BTC-USD,hourly,-13.781390753380185
2023-08-13 00:00:00+00:00,BTC-USD,hourly,-14.33259930585086
2023-08-14 00:00:00+00:00,BTC-USD,hourly,-14.959913738646286
2023-08-15 00:00:00+00:00,BTC-USD,hourly,-14.080106225374836
2023-08-16 00:00:00+00:00,BTC-USD,hourly,-13.862646650794128
2023-08-17 00:00:00+00:00,BTC-USD,hourly,-13.798963001527405
2023-08-18 00:00:00+00:00,BTC-USD,hourly,-12.587223278691406
2023-08-19 00:00:00+00:00,BTC-USD,hourly,-11.102700887327295
2023-08-20 00:00:00+00:00,BTC-USD,hourly,-12.94872133307281
2023-08-21 00:00:00+00:00,BTC-USD,hourly,-13.131536246925627
2023-08-22 00:00:00+00:00,BTC-USD,hourly,-13.446623122500014
2023-08-23 00:00:00+00:00,BTC-USD,hourly,-13.431220072859364
