Ticker,mean_ln_hourly_rv,mean_ln_3_hourly_rv,mean_ln_daily_rv,Composite_Score,Risk
BTC-USD,-12.999953596708837,-10.951065926340647,-8.212067460494126,-9.991344227491025,Low Risk
ETH-USD,-12.789052506538878,-10.688543469018938,-7.948951703291908,-9.738849393659411,Low Risk
XRP-USD,-12.265120378487968,-10.170671430499253,-7.45656689243347,-9.232508951064105,Medium Risk
DOGE-USD,-12.126308991314755,-10.025883851843465,-7.292733724570821,-9.079393816101401,High Risk
SOL-USD,-11.200827829171294,-9.14404507568927,-6.520270391254975,-8.243514284168526,High Risk
