Frequency,Risk Group,Optimal Lambda,In-Sample MSE
daily,low,0.9,1.0526194557419
daily,medium,0.9,1.1711147760343081
daily,high,0.9,0.974423878480332
hourly,low,0.9,5.702800627969623
hourly,medium,0.9390909090909091,6.047562190947557
hourly,high,0.9581818181818181,6.235062714595338
3hourly,low,0.9,2.0638090893900736
3hourly,medium,0.9,1.9622823958852191
3hourly,high,0.9,1.8153139088625392
