time,open,close,high,low,volume,"RV_d,t",daily_return,"RV_w,t","RV_m,t","ln_RV_d,t","ln_RV_w,t","ln_RV_m,t"
2016-06-02,13.94,13.77,14.029000000000002,13.608,45433.30358759,2.4456025330862785e-05,-0.01254930082466843,,,-10.618633937603347,,
2016-06-03,13.818,13.94,13.99,13.42,57902.82501313,4.618851062137877e-05,0.012345679012345734,,,-9.982779478653477,,
2016-06-04,13.94,13.701,13.962,13.404000000000002,40804.62560526,1.9240527863603304e-05,-0.01714490674318503,,,-10.85849167736485,,
2016-06-05,13.787,13.895,13.969,13.686,16549.05005117,1.1510320615266332e-05,0.014159550397781162,,,-11.372266480252117,,
2016-06-06,13.97,13.949000000000002,14.193,13.800999999999998,33303.74277223,2.3147649663015628e-05,0.0038862900323859417,,,-10.673617309021799,,
2016-06-07,13.949000000000002,14.601,14.697,13.88,60569.2923888,3.803780194193067e-05,0.04674170191411564,,,-10.176930104765969,,
2016-06-08,14.61,14.41,14.89,14.3,78019.60439456,4.0487141955148734e-05,-0.013081295801657511,2.9009711141600888e-05,,-10.114526116848968,-10.447879917081469,
2016-06-09,14.41,14.494000000000002,14.7,14.374,18913.43397734,1.3768257817683682e-05,0.005829285218598379,2.748288721114673e-05,,-11.193144773367225,-10.501947030221347,
2016-06-10,14.494000000000002,13.97,14.51,13.561,63321.45715347,2.1514678320615502e-05,-0.03615289085138684,2.3958054025323406e-05,,-10.746775143186111,-10.639206005656282,
2016-06-11,13.97,14.36,14.383,13.81,37906.99173029,2.8212849874697226e-05,0.02791696492483875,2.523981431262254e-05,,-10.475733014490437,-10.587087877187479,
2016-06-12,14.36,15.778,16.087,14.226,165362.07181175,8.464177178013715e-05,0.09874651810584956,3.568716447903266e-05,,-9.377082656943214,-10.240719472230555,
2016-06-13,15.778,17.785999999999994,17.91,15.701,259931.83925592,0.00019491356890295096,0.1272658131575608,6.022515294188056e-05,,-8.542954334053936,-9.717420469958377,
2016-06-14,17.635,18.75,19.41,16.0,337986.69193365,0.0003044851276789623,0.05419993253120459,9.828905661859936e-05,,-8.096888313783928,-9.227597863370557,
2016-06-15,18.75,18.247,18.775,17.55,105901.83653544,0.00011275358405163625,-0.026826666666666665,0.00010861283406095472,,-9.09030579248904,-9.127720980089975,
2016-06-16,18.278,20.697,21.1,18.278,296550.62019096,0.00017068406782073478,0.13426864690086027,0.00013102937834710488,,-8.675696266903314,-8.940088997714488,
2016-06-17,20.747,15.429,21.69,11.51,1369132.24829901,0.0019691781324286417,-0.25452964197709804,0.00040926701464825147,,-6.23013901494148,-7.801142767382993,
2016-06-18,15.43,11.3,15.43,10.133,895564.66506871,0.0011852333102332449,-0.2676129366776848,0.0005745556518423298,,-6.7378156375018206,-7.461913595319492,
2016-06-19,11.3,12.251,13.361,10.459,382642.10482631,0.0005403643870627529,0.08415929203539818,0.0006396588825969891,,-7.523266855117986,-7.35457551964559,
2016-06-20,12.251,11.898,12.487,10.51,317762.64579825,0.0003520668192800666,-0.02881397436943922,0.0006621093469365769,,-7.951689572880948,-7.320079839026071,
2016-06-21,11.856,13.295,13.498,11.2,193640.28119064,0.00020867762451653996,0.11741469154479756,0.0006484225607705167,,-8.47471996325354,-7.340967974182287,
2016-06-22,13.214,13.501,15.9,12.95,538616.58518314,0.00045232762734981227,0.015494546822113486,0.0006969331383845418,,-7.701103801431658,-7.268821079517386,
2016-06-23,13.5,13.804,14.0,12.5,152176.59780929002,0.00018346779049114868,0.022442782016147023,0.0006987593844803152,,-8.603471434535198,-7.266204103201875,
2016-06-24,13.789,14.333,14.46,13.1,161070.27836031,0.0001542476284105077,0.03832222544190089,0.0004394835981920104,,-8.77695127026937,-7.729910160779995,
2016-06-25,14.333,14.33,14.836,13.913,77063.58221568,8.285374120455487e-05,-0.00020930719319056657,0.0002820008026164833,,-9.398433658749665,-8.173600640872468,
2016-06-26,14.33,13.754,14.4,13.525,61784.86736264,7.513778099072612e-05,-0.040195394277738994,0.000215539858891908,,-9.496187049919063,-8.442364705468217,
2016-06-27,13.744000000000002,14.031,14.188,13.682,39443.14997036,3.2316249184842065e-05,0.020139595753962514,0.00016986120602116166,,-10.339940383495179,-8.680528889548357,
2016-06-28,14.043,12.114,14.079,11.513,260077.77449181,0.00016196656321964203,-0.13662604233483,0.00016318819726446196,,-8.72812064391403,-8.720606438732979,
2016-06-29,12.12,12.62,13.045,11.57,136304.155176,0.00010762131635631939,0.04176985306257208,0.00011394443855110584,,-9.136891822456532,-9.079799609509218,
2016-06-30,12.6,12.41,12.884,12.2,61631.62527242,5.506226496653262e-05,-0.016640253565768592,9.560079204758926e-05,,-9.807045922762205,-9.255329452924615,
2016-07-01,12.479,12.194,12.58,11.74,88143.2615943,3.986017509637943e-05,-0.017405318291700222,7.925972728842808e-05,0.00022448077650101116,-10.130132850405044,-9.442780410929226,-8.401720482506112
