Ticker,Date,Open,High,Low,Close,Volume,daily_rv,ln_daily_rv,daily_return,ln_daily_return,ln_daily_rv_lag1,ln_daily_rv_lag2,ln_daily_rv_lag3,weekly_rv,ln_weekly_rv,ln_weekly_rv_lag1,monthly_rv,ln_monthly_rv,ln_monthly_rv_lag1,Risk
BTC-USD,2023-04-01 00:00:00+00:00,28529.48828125,28543.830078125,28464.060546875,28466.19921875,0.0,0.00010003117170445357,-9.21002870350531,,,,,,,,,,,,Low Risk
BTC-USD,2023-04-02 00:00:00+00:00,28100.953125,28202.138671875,28063.998046875,28202.138671875,159307776.0,0.0002059655528905664,-8.487801622135178,-0.00927628394805402,-0.009319576607992503,-9.21002870350531,,,,,,,,,Low Risk
BTC-USD,2023-04-03 00:00:00+00:00,27802.083984375,27984.986328125,27763.1015625,27786.3671875,195301376.0,0.0009494606500206872,-6.95961647141359,-0.014742551592005104,-0.014852303018832799,-8.487801622135178,-9.21002870350531,,,,,,,,Low Risk
BTC-USD,2023-04-04 00:00:00+00:00,28192.544921875,28217.583984375,28086.263671875,28170.05078125,0.0,0.0002212712298758236,-8.416121324438539,0.013808339577496165,0.013713873080175288,-6.95961647141359,-8.487801622135178,-9.21002870350531,,,,,,,Low Risk
BTC-USD,2023-04-05 00:00:00+00:00,28178.544921875,28202.958984375,28147.2734375,28175.435546875,0.0,0.0006219574915796381,-7.382638809072318,0.00019115214476594922,0.00019113387752256965,-8.416121324438539,-6.95961647141359,-8.487801622135178,,,,,,,Low Risk
BTC-USD,2023-04-06 00:00:00+00:00,28023.68359375,28067.068359375,28023.68359375,28034.193359375,0.0,0.00018991727309602402,-8.568921985377731,-0.005012954893457433,-0.005025561901729688,-7.382638809072318,-8.416121324438539,-6.95961647141359,,,,,,,Low Risk
BTC-USD,2023-04-07 00:00:00+00:00,27972.5390625,27989.443359375,27912.94921875,27925.455078125,85182464.0,8.378419070073856e-05,-9.387266223396304,-0.0038787733199976415,-0.0038863152698911264,-8.568921985377731,-7.382638809072318,-8.416121324438539,0.0003389125085525616,-7.98976857075957,,,,,Low Risk
BTC-USD,2023-04-08 00:00:00+00:00,27956.671875,27991.70703125,27941.578125,27945.478515625,0.0,5.410729401374144e-05,-9.824541556546604,0.0007170317348090816,0.0007167747903722605,-9.387266223396304,-8.568921985377731,-7.382638809072318,0.0003323519545967456,-8.009316046354378,-7.98976857075957,,,,Low Risk
BTC-USD,2023-04-09 00:00:00+00:00,28375.900390625,28426.322265625,28328.01171875,28348.171875,201065472.0,0.00023858935034770833,-8.340766683212305,0.014409964715753398,0.014307127913374424,-9.824541556546604,-9.387266223396304,-8.568921985377731,0.000337012497090623,-7.995390544944518,-8.009316046354378,,,,Low Risk
BTC-USD,2023-04-10 00:00:00+00:00,29646.1171875,29771.46484375,29614.84375,29650.720703125,424677376.0,0.0007518400772506172,-7.192986919861028,0.04594824787533147,0.044923888200130324,-8.340766683212305,-9.824541556546604,-9.387266223396304,0.0003087809866948987,-8.082878313293138,-7.995390544944518,,,,Low Risk
