Frequency,Risk Group,Model,Relative RMSE,R2,MAPE,QLIKE
hourly,low,garch,0.9960031038311523,0.05287670765322161,0.15318196003409623,0.01905380212705882
hourly,medium,garch,0.9841060816641188,0.1646205715711555,0.1609220854390932,0.021097071018166123
hourly,high,garch,0.9485121292063111,0.046367798224865475,0.16505953998602638,0.022215661992035906
3hourly,low,ewma,1.0,0.13322835095549102,0.11534141786173671,0.010146347384984667
3hourly,medium,ewma,1.0,0.36893890669003526,0.12072527217586929,0.011366060494410909
3hourly,high,ewma,1.0,0.16082968918382745,0.11797946590794874,0.010765204460486937
daily,low,bagging_dt,0.9618731366251804,0.1510871013919617,0.10505106766141516,0.008297898767157976
daily,medium,bagging_dt,0.9522258112066022,0.38813300712083576,0.14226287514324007,0.014537301912038674
daily,high,svr,0.9613275538400333,0.15859405810508176,0.11230315116946128,0.009416189069101718
