Frequency,Risk Group,Model,Relative RMSE,R2,MAPE,QLIKE
hourly,low,har,1.027502980485529,-0.007978605471782085,0.17054707790443263,0.020223601238539408
hourly,low,rf,1.014569079703763,0.01723794764322739,0.1654790834112681,0.019748585605645658
hourly,low,bagging_dt,1.0132789143775303,0.01973579501043221,0.1650967726026361,0.019697186426131698
hourly,low,svr,1.003408593896841,0.038740231466465436,0.15503274208658482,0.019364888407751094
hourly,low,ewma,1.0,0.04525996622970074,0.1543524464349696,0.019210386234377177
hourly,low,garch,0.9960031038311523,0.05287670765322161,0.15318196003409623,0.01905380212705882
hourly,medium,har,1.046470104065423,0.055387699594806716,0.19013426048397541,0.024130624145618694
hourly,medium,rf,1.0114547884396679,0.11754433687279209,0.17862940232957958,0.022410239413622902
hourly,medium,bagging_dt,1.0104516524387936,0.11929386455062985,0.17853429570164137,0.02235959075729866
hourly,medium,svr,1.0046053624796907,0.12945559416787955,0.16718375695908463,0.022095551694045014
hourly,medium,ewma,1.0,0.13741888635724686,0.1647956046425384,0.021740519043321017
hourly,medium,garch,0.9841060816641188,0.1646205715711555,0.1609220854390932,0.021097071018166123
hourly,high,ewma,1.0,-0.0599737982886579,0.17524649366231704,0.024575123683731114
hourly,high,har,0.9745543229354436,-0.006716610817370183,0.1811011915337462,0.0233874180364271
hourly,high,rf,0.962355019828751,0.018329450876174547,0.1766571138187393,0.022833246665041343
hourly,high,bagging_dt,0.9611005508287636,0.02088707796307976,0.17630038016508615,0.02277247633266593
hourly,high,svr,0.9600538579818799,0.023018535367252735,0.16458365813080197,0.02288968794984916
hourly,high,garch,0.9485121292063111,0.046367798224865475,0.16505953998602638,0.022215661992035906
3hourly,low,garch,1.0295421553922728,0.08125928008937733,0.11886698950612584,0.010706433324341263
3hourly,low,har,1.0272223038301873,0.08539498414548752,0.12120106275207979,0.010640463562627414
3hourly,low,svr,1.0167003186543744,0.10403588230586014,0.11983093750531595,0.010497252712706262
3hourly,low,rf,1.0137677197671064,0.10919711596392756,0.12013240892983151,0.01043279829145923
3hourly,low,bagging_dt,1.0119378745224137,0.11241000248736455,0.11993795212338518,0.010400044458872736
3hourly,low,ewma,1.0,0.13322835095549102,0.11534141786173671,0.010146347384984667
3hourly,medium,svr,1.0527023225214212,0.30066934200229134,0.13180003542450525,0.012638484885004941
3hourly,medium,bagging_dt,1.049553682605235,0.3048464913594061,0.13195470776385226,0.012600607282535654
3hourly,medium,rf,1.0475545140519054,0.30749219780280646,0.13143650730823508,0.012525039622174283
3hourly,medium,har,1.0459486050179752,0.3096138097826229,0.13176160235824605,0.012472354274148173
3hourly,medium,garch,1.0325257512489137,0.32721981941428446,0.12529562706369973,0.012105457475393619
3hourly,medium,ewma,1.0,0.36893890669003526,0.12072527217586929,0.011366060494410909
3hourly,high,har,1.0376091061927644,0.0965218383771953,0.12431895991824121,0.011446530222517556
3hourly,high,svr,1.0298577244394496,0.10997015072667538,0.12245624932017507,0.011315381036061917
3hourly,high,rf,1.021176490437001,0.12491200438105443,0.12214991702083242,0.011121191089316735
3hourly,high,bagging_dt,1.0190251465927558,0.12859526992542591,0.12180493279525417,0.011081594526586695
3hourly,high,garch,1.0163983157696022,0.13308207281025397,0.12033736634042133,0.011159955171935958
3hourly,high,ewma,1.0,0.16082968918382745,0.11797946590794874,0.010765204460486937
daily,low,svr,1.028267759610667,0.029847562997072585,0.11196629893157596,0.009409197048049938
daily,low,har,1.0136923883017062,0.057155848198837345,0.11110553311445828,0.009152052195235837
daily,low,ewma,1.0,0.08245464553144988,0.10774793446319507,0.008988071874901379
daily,low,garch,0.9969293474566787,0.08808092003421897,0.10756686476549035,0.008963399843920236
daily,low,rf,0.9656196766671293,0.14446111275527806,0.10558820607425856,0.00834439469149439
daily,low,bagging_dt,0.9618731366251804,0.1510871013919617,0.10505106766141516,0.008297898767157976
daily,medium,garch,1.047423342321037,0.2596763499595601,0.1501902767036783,0.016902979924400492
daily,medium,svr,1.0106395792548268,0.31076117755704324,0.1538458331779125,0.016270824337356885
daily,medium,har,1.0048533525109433,0.31863079923721516,0.1500355317172942,0.015703716139032313
daily,medium,ewma,1.0,0.3251968097624708,0.1447374881378873,0.01567103961628208
daily,medium,rf,0.9525101536909172,0.38776753549703236,0.14248937164134015,0.014598811287628476
daily,medium,bagging_dt,0.9522258112066022,0.38813300712083576,0.14226287514324007,0.014537301912038674
daily,high,har,1.0141491509146687,0.0635891078861488,0.11704882820429015,0.010377267919281447
daily,high,ewma,1.0,0.08953596739338654,0.11535726346131926,0.010195357789694577
daily,high,garch,0.9994291584207168,0.09057513216198543,0.11524747996794588,0.010169640619726836
daily,high,rf,0.9799676166498208,0.1256481305259851,0.11246338608685781,0.009679157509249884
daily,high,bagging_dt,0.9707986305641704,0.14193318967287039,0.1116028396169653,0.00953136608092083
daily,high,svr,0.9613275538400333,0.15859405810508176,0.11230315116946128,0.009416189069101718
