time,forecast
2022-04-30,0.0010129060380750679
2022-05-01,0.0009924801967072226
2022-05-02,0.0009634835062935748
2022-05-03,0.0009962698574605701
2022-05-04,0.0009237511847924729
2022-05-05,0.0009006393025454
2022-05-06,0.0009332857256547732
2022-05-07,0.0011943268338248777
2022-05-08,0.0010772721411801186
2022-05-09,0.0015076575244470718
2022-05-10,0.0019236092572346927
2022-05-11,0.0035456003607858308
2022-05-12,0.0057126213368376
2022-05-13,0.007194781365968268
2022-05-14,0.006259607157540161
2022-05-15,0.00477682025570665
2022-05-16,0.0034013204079247944
2022-05-17,0.003384488761238166
2022-05-18,0.0025792239160097705
2022-05-19,0.0023627590542708667
2022-05-20,0.0017702961090471636
2022-05-21,0.0014538051486602571
2022-05-22,0.0016185217669386145
2022-05-23,0.0014419436585612058
2022-05-24,0.0013774689336554262
2022-05-25,0.0013899314814206534
2022-05-26,0.0012344308136231952
2022-05-27,0.001829087350069566
2022-05-28,0.0025666336011413867
2022-05-29,0.0016877106942004246
2022-05-30,0.001585039790515511
2022-05-31,0.0017702979021325998
2022-06-01,0.001483605206081867
2022-06-02,0.0021520984404005605
2022-06-03,0.0018388999916366497
2022-06-04,0.001540190235652984
2022-06-05,0.0012390272525498803
2022-06-06,0.0015802309890002118
2022-06-07,0.0015319825887442357
2022-06-08,0.0016406934173728682
2022-06-09,0.0012160686930373786
2022-06-10,0.0012320407431208533
2022-06-11,0.0019657364172093583
2022-06-12,0.002330190776576191
2022-06-13,0.003498453566853111
2022-06-14,0.007169062565028038
2022-06-15,0.005167902405065425
2022-06-16,0.006895477251505749
2022-06-17,0.006552309527995447
2022-06-18,0.0055836355450939
2022-06-19,0.006481829913446841
2022-06-20,0.006683897653866442
2022-06-21,0.005941832516989439
2022-06-22,0.005636898078854281
2022-06-23,0.004883620300902026
2022-06-24,0.004263915203240733
2022-06-25,0.004166911882926357
2022-06-26,0.002815235919695494
2022-06-27,0.0026904607990643602
2022-06-28,0.0023627617411639107
2022-06-29,0.0019096525880467148
2022-06-30,0.0020607800872560807
2022-07-01,0.0024393881129496225
2022-07-02,0.003237604985822645
2022-07-03,0.002411202635016131
2022-07-04,0.002104468267102087
2022-07-05,0.002366388578167963
2022-07-06,0.0023909388334339065
2022-07-07,0.0022206405194830237
2022-07-08,0.002165935644937106
2022-07-09,0.0020739502802394963
2022-07-10,0.0016307461174745609
2022-07-11,0.00158671224940527
2022-07-12,0.0015685720281353635
2022-07-13,0.0016053061320703034
2022-07-14,0.0021325510012290467
2022-07-15,0.0019001941945177938
2022-07-16,0.003045442225031674
2022-07-17,0.0027405897557785846
2022-07-18,0.002693109419980733
2022-07-19,0.00393649696657693
2022-07-20,0.003617307806387005
2022-07-21,0.003444808885896517
2022-07-22,0.002938501965862987
2022-07-23,0.002987279552961387
2022-07-24,0.002332271552102063
2022-07-25,0.0022624831066565703
2022-07-26,0.002458639871488834
2022-07-27,0.002675438117369064
2022-07-28,0.003111394602571056
2022-07-29,0.003329063154295443
2022-07-30,0.0031749485938235775
2022-07-31,0.0026627568133446113
2022-08-01,0.002268623852464892
2022-08-02,0.0021784122360635825
2022-08-03,0.002216959219037969
2022-08-04,0.002107486484523085
2022-08-05,0.0016278249715186266
2022-08-06,0.001737171133504114
2022-08-07,0.0015362483894877297
2022-08-08,0.0013814059096202125
2022-08-09,0.0013348882265158404
2022-08-10,0.0011563269467071429
2022-08-11,0.001654339308512148
2022-08-12,0.0011693326916029443
2022-08-13,0.0015342926890181197
2022-08-14,0.001649365486879876
2022-08-15,0.0014712935864955637
2022-08-16,0.0016368182013439985
2022-08-17,0.0013030613330708826
2022-08-18,0.0013933870450925337
2022-08-19,0.0013397108323405945
2022-08-20,0.0020518495501501534
2022-08-21,0.001761848659837652
2022-08-22,0.0020941501605896743
2022-08-23,0.002278702217614033
2022-08-24,0.001795113823669104
2022-08-25,0.001672297974552302
2022-08-26,0.0013664140505820275
2022-08-27,0.0017929564127039366
2022-08-28,0.0018774590260194374
2022-08-29,0.0018393197458645102
2022-08-30,0.0016049593139069278
2022-08-31,0.0021795648057069406
2022-09-01,0.0021934716970779147
2022-09-02,0.001973727286638919
2022-09-03,0.0019790671401352495
2022-09-04,0.001535918397613218
2022-09-05,0.0016440530664026574
2022-09-06,0.0013826615430104702
2022-09-07,0.001344148360354942
2022-09-08,0.0013828331491531022
2022-09-09,0.0016690589474268685
2022-09-10,0.0016832812236273547
2022-09-11,0.0014383228486164917
2022-09-12,0.0016665702571235584
2022-09-13,0.0018062644497547587
2022-09-14,0.0020702442989218124
2022-09-15,0.002247882684192527
2022-09-16,0.00283715698733913
2022-09-17,0.0026044346684328435
2022-09-18,0.0019470655265322449
2022-09-19,0.0021320795114523634
2022-09-20,0.002223473542515316
2022-09-21,0.002492857581376423
2022-09-22,0.0027605326529855727
2022-09-23,0.002534328454482965
2022-09-24,0.002449633181798459
2022-09-25,0.0021359262749172433
2022-09-26,0.0020427755853546724
2022-09-27,0.002250269637461335
2022-09-28,0.001647909622642571
2022-09-29,0.0015268666649596659
2022-09-30,0.00152623193000531
2022-10-01,0.0015013287854218434
2022-10-02,0.0010455458835756984
2022-10-03,0.0010605483284110056
2022-10-04,0.0011961335097844061
2022-10-05,0.0009662557881859877
2022-10-06,0.0008201830370688381
2022-10-07,0.0008724115989699596
2022-10-08,0.000713055098714104
2022-10-09,0.0005778044397608931
2022-10-10,0.000508159575204171
2022-10-11,0.0005727893938693603
2022-10-12,0.0007009797571614763
2022-10-13,0.0008498074640120804
2022-10-14,0.001548562633252906
