time,HAR_Forecast
2022-04-30,0.001276920108669956
2022-05-01,0.0017577612804368658
2022-05-02,0.0008340258921553604
2022-05-03,0.0009144128979387958
2022-05-04,0.0016564108330320178
2022-05-05,0.0011951784290762885
2022-05-06,0.0008432093406073523
2022-05-07,0.0012232554943741205
2022-05-08,0.0009693544867592579
2022-05-09,0.0009825810349317068
2022-05-10,0.0032047029552086767
2022-05-11,0.009757430852498963
2022-05-12,0.022477974786955377
2022-05-13,0.022966347194421668
2022-05-14,0.0201328063966083
2022-05-15,0.005742198078519154
2022-05-16,0.0026516033365981202
2022-05-17,0.0032916930605455907
2022-05-18,0.0019054971558534436
2022-05-19,0.0021520150533820676
2022-05-20,0.0022894535097445767
2022-05-21,0.0017939225323949928
2022-05-22,0.0009359747232659217
2022-05-23,0.00098799839810996
2022-05-24,0.001493401490326072
2022-05-25,0.0012733132603925136
2022-05-26,0.0013573224284785927
2022-05-27,0.0032283657065386483
2022-05-28,0.003379045645234482
2022-05-29,0.0015658393054212105
2022-05-30,0.0010678172894596808
2022-05-31,0.0019436739991955082
2022-06-01,0.001600612132303865
2022-06-02,0.0019059216127474566
2022-06-03,0.001807503635718289
2022-06-04,0.0014643520247838522
2022-06-05,0.0008560989792668198
2022-06-06,0.0007689927829105271
2022-06-07,0.0013938596452045214
2022-06-08,0.002903168215777499
2022-06-09,0.0017823176277549173
2022-06-10,0.0011575177294243263
2022-06-11,0.0024089788199626676
2022-06-12,0.0035737540117510105
2022-06-13,0.004357710300498585
2022-06-14,0.010969954750180958
2022-06-15,0.010757181626719466
2022-06-16,0.01422032837656679
2022-06-17,0.007781074149033665
2022-06-18,0.0055956436232930335
2022-06-19,0.01048502218644541
2022-06-20,0.00895539907258536
2022-06-21,0.00621605076031467
2022-06-22,0.00417629340197002
2022-06-23,0.004083652593807287
2022-06-24,0.0039011946015926296
2022-06-25,0.0033003797437803784
2022-06-26,0.0025039040053353116
2022-06-27,0.0019513532928156414
2022-06-28,0.0020667248055089215
2022-06-29,0.0019842833038327796
2022-06-30,0.0022324298589293497
2022-07-01,0.003045530011753776
2022-07-02,0.003242656069616628
2022-07-03,0.0018567027144814128
2022-07-04,0.0018081594616085877
2022-07-05,0.0022335390549692953
2022-07-06,0.0024101819813157747
2022-07-07,0.0025648534101957144
2022-07-08,0.00172070345533937
2022-07-09,0.0022432504150464824
2022-07-10,0.0012616253739050752
2022-07-11,0.001389975720823038
2022-07-12,0.0014933190700583102
2022-07-13,0.0017439913037000825
2022-07-14,0.002981727233949756
2022-07-15,0.002201895698184769
2022-07-16,0.002471615833828437
2022-07-17,0.003520018305298608
2022-07-18,0.003045902760383178
2022-07-19,0.003878225718290911
2022-07-20,0.0044660837417225055
2022-07-21,0.0038888440019044885
2022-07-22,0.0033982572651093963
2022-07-23,0.003029040235497214
2022-07-24,0.0027223403014074174
2022-07-25,0.003199862904391868
2022-07-26,0.003294076679820079
2022-07-27,0.0030302980725408243
2022-07-28,0.0035653712107545027
2022-07-29,0.0034976194371021483
2022-07-30,0.003408008555173014
2022-07-31,0.0025537329081472865
2022-08-01,0.0021623957998568757
2022-08-02,0.0020369795342912314
2022-08-03,0.0028485275602363642
2022-08-04,0.0019499388573686522
2022-08-05,0.001825467071567085
2022-08-06,0.002029892777826271
2022-08-07,0.0011408239481960705
2022-08-08,0.001029908288801082
2022-08-09,0.0013791767545578944
2022-08-10,0.0013619861995353513
2022-08-11,0.0022710589923203785
2022-08-12,0.0017607858953008217
2022-08-13,0.0014426194148852633
2022-08-14,0.0012821315250814342
2022-08-15,0.001241842376729762
2022-08-16,0.0018625811861666915
2022-08-17,0.0014652601440244954
2022-08-18,0.0017701605638278221
2022-08-19,0.0014087380228027858
2022-08-20,0.002670371804402021
2022-08-21,0.0020842888012798906
2022-08-22,0.0020802239756283116
2022-08-23,0.0024375105158213105
2022-08-24,0.0021808899868783465
2022-08-25,0.0018415493613557438
2022-08-26,0.001464882389628809
2022-08-27,0.0026162476584947088
2022-08-28,0.002079408523202898
2022-08-29,0.0017165213170834833
2022-08-30,0.0020327743160746944
2022-08-31,0.0025126836727029722
2022-09-01,0.0027166560502032934
2022-09-02,0.0023786218536771754
2022-09-03,0.0021389215380634738
2022-09-04,0.0014131069509060483
2022-09-05,0.0011731474002632494
2022-09-06,0.0012422381760839834
2022-09-07,0.0020377913853209077
2022-09-08,0.002020166148128836
2022-09-09,0.0018071026741486454
2022-09-10,0.0017203399927449368
2022-09-11,0.001483020285406096
2022-09-12,0.0013690533759527282
2022-09-13,0.0019028029891966038
2022-09-14,0.003009958181509853
2022-09-15,0.002226279532467304
2022-09-16,0.003418196547446839
2022-09-17,0.002427730933157026
2022-09-18,0.0015930026106553716
2022-09-19,0.002528949791857717
2022-09-20,0.0028182640733664553
2022-09-21,0.0026803472595428447
2022-09-22,0.0042762847121430815
2022-09-23,0.002636079849529116
2022-09-24,0.003081377567695327
2022-09-25,0.001942813894669437
2022-09-26,0.0018526886830489747
2022-09-27,0.002161380726556038
2022-09-28,0.0017803032830291247
2022-09-29,0.0020859431203000397
2022-09-30,0.0017304572419578647
2022-10-01,0.0017512857451406167
2022-10-02,0.0009291683516957201
2022-10-03,0.0011646718270557133
2022-10-04,0.0010862844948547174
2022-10-05,0.0008889333988999464
2022-10-06,0.0007940590607499729
2022-10-07,0.0008410880310950982
2022-10-08,0.0006758491555672773
2022-10-09,0.0004203096278317375
2022-10-10,0.0004084262934420881
2022-10-11,0.0005673376905879304
2022-10-12,0.0006159632394350954
2022-10-13,0.0006772913969035706
