time,Predicted Volatility
2016-07-02,0.008282309198006075
2016-07-03,0.011564991752802916
2016-07-04,0.009776316436092494
2016-07-05,0.025820886719412697
2016-07-06,0.014171317687492224
2016-07-07,0.014112271441941427
2016-07-08,0.015983242797383907
2016-07-09,0.023608126203137392
2016-07-10,0.011172807091252882
2016-07-11,0.009215736449287045
2016-07-12,0.006840980506904638
2016-07-13,0.005470548870796213
2016-07-14,0.009379350332724138
2016-07-15,0.018743150163588077
2016-07-16,0.00615529533382292
2016-07-17,0.007408102171422347
2016-07-18,0.008639233177342899
2016-07-19,0.00978887504433858
2016-07-20,0.017123173316027647
2016-07-21,0.006718258421984062
2016-07-22,0.017425636699770344
2016-07-23,0.011359688470603606
2016-07-24,0.02132616089405136
2016-07-25,0.010203423228767843
2016-07-26,0.016142572154226553
2016-07-27,0.011567392573178702
2016-07-28,0.006718793968275524
2016-07-29,0.006865910473076431
2016-07-30,0.004544467255038994
2016-07-31,0.009839072159652504
2016-08-01,0.011871968368157917
2016-08-02,0.02436930130875468
2016-08-11,0.0067235223205219736
2016-08-12,0.002938174185575361
2016-08-13,0.00535855986917431
2016-08-14,0.0061775656653562765
2016-08-15,0.00467290121173109
2016-08-16,0.006175495628010423
2016-08-17,0.02034044196285809
2016-08-18,0.0026800745934331535
2016-08-19,0.0048202675307371665
2016-08-20,0.006419620590599031
2016-08-21,0.004678069359107993
2016-08-22,0.0051264395537236876
2016-08-23,0.007666595858601701
2016-08-24,0.008158962719739453
2016-08-25,0.009551670468375309
2016-08-26,0.014998353047879318
2016-08-27,0.009578600674046853
2016-08-28,0.032806145143688806
2016-08-29,0.0216908776811281
2016-08-30,0.025491612054176358
2016-08-31,0.013146283475593934
2016-09-01,0.017588446787503046
2016-09-02,0.014108106869210026
2016-09-03,0.019749856787237632
2016-09-04,0.020361463200011923
2016-09-05,0.013133050873022448
2016-09-06,0.015778540933137138
2016-09-07,0.009139931338252824
2016-09-08,0.01934193501076595
2016-09-09,0.022050484373451
2016-09-10,0.0051913907249368
2016-09-11,0.011283422072108985
2016-09-12,0.015561200011220447
2016-09-13,0.0268647750296774
2016-09-14,0.006908430859926248
2016-09-15,0.01078962862362514
2016-09-16,0.006357481428026354
2016-09-17,0.011340510303968283
2016-09-18,0.010445488035146456
2016-09-19,0.01200381615120497
2016-09-20,0.01951551082863913
2016-09-21,0.009248544970228301
2016-09-22,0.015343075890255988
2016-09-23,0.01592736595975797
2016-09-24,0.011902556539667396
2016-09-25,0.007926308680173652
2016-09-26,0.005460271689340668
2016-09-27,0.006166108648215982
2016-09-28,0.007758937851013879
2016-09-29,0.002819693789960825
2016-09-30,0.009999877419221714
2016-10-01,0.010390043969588375
2016-10-02,0.010917722996755402
2016-10-03,0.0055792677843083515
2016-10-04,0.006177163302183979
2016-10-05,0.0038313232802982488
2016-10-06,0.0075300938080869444
2016-10-07,0.008332555539193525
2016-10-08,0.007055279869304358
2016-10-09,0.004640862958710968
2016-10-10,0.0038588114046548185
2016-10-11,0.008680495302116502
2016-10-12,0.009713998753603636
2016-10-13,0.008020144010960168
2016-10-14,0.004496820516472571
2016-10-15,0.008132712418196252
2016-10-16,0.005113418566329306
2016-10-17,0.005165870587147378
2016-10-18,0.007792769742772506
2016-10-19,0.004643627187205392
2016-10-20,0.01424076553620348
2016-10-21,0.004327448260883513
2016-10-22,0.011133141671842492
2016-10-23,0.009079836859418412
2016-10-24,0.008657242510340198
2016-10-25,0.018299494005237876
2016-10-26,0.007556576362021214
2016-10-27,0.011830228679227794
2016-10-28,0.009404640556326949
2016-10-29,0.02468069758041655
2016-10-30,0.015144819148578155
2016-10-31,0.009291940584935007
2016-11-01,0.01770813568297905
2016-11-02,0.009043397122468969
2016-11-03,0.020450079401825184
2016-11-04,0.008950198163293437
2016-11-05,0.009189510764348733
2016-11-06,0.009170136978131453
2016-11-07,0.021104179845578698
2016-11-08,0.028703472097465006
2016-11-09,0.015014103752871598
2016-11-10,0.015040968871490973
2016-11-11,0.011618622752378654
2016-11-12,0.013576937306776077
2016-11-13,0.015974492548013513
2016-11-14,0.011239591416113415
2016-11-15,0.01122138840325372
2016-11-16,0.01823729086708321
2016-11-17,0.008865396933109908
2016-11-18,0.018702076017611143
2016-11-19,0.014407988265719396
2016-11-20,0.009548334654359641
2016-11-21,0.01159214001468791
2016-11-22,0.011205854154905022
2016-11-23,0.010945061923718006
2016-11-24,0.026279853922052634
2016-11-25,0.013923003120029195
2016-11-26,0.020773307078128328
2016-11-27,0.016642384782042063
2016-11-28,0.016682278708598508
2016-11-29,0.02669808062041946
2016-11-30,0.025233829130883383
2016-12-01,0.00636891815393383
2016-12-02,0.026860903731260898
2016-12-03,0.016866672933441882
2016-12-04,0.027564321718629995
2016-12-05,0.02684591105744363
2016-12-06,0.058807340839068294
2016-12-07,0.0318999678799335
2016-12-08,0.022233180399488555
2016-12-09,0.027242759969177768
2016-12-10,0.017834756979599353
2016-12-11,0.009581964530820513
2016-12-12,0.016596147199965574
2016-12-13,0.01683624503781582
2016-12-14,0.009792994106549876
2016-12-15,0.009289598590399043
2016-12-16,0.01842076760286116
2016-12-17,0.013921383051738113
2016-12-18,0.01500360501808524
2016-12-19,0.01739399339972588
2016-12-20,0.007820052222208973
2016-12-21,0.013673049645605298
2016-12-22,0.01348586251990602
2016-12-23,0.017130738517532614
2016-12-24,0.00902777884534975
2016-12-25,0.014936537233694475
2016-12-26,0.021434433597660566
2016-12-27,0.01634641287198704
2016-12-28,0.01880695110163548
2016-12-29,0.022099319125991453
