time,RV_forecast
2022-11-26,0.0012547241
2022-11-27,0.0011129059
2022-11-28,0.00094961986
2022-11-29,0.0010243207
2022-11-30,0.0011047418
2022-12-01,0.0014105414
2022-12-02,0.001182255
2022-12-03,0.0009995094
2022-12-04,0.0009465511
2022-12-05,0.000881593
2022-12-06,0.0008724567
2022-12-07,0.0008487484
2022-12-08,0.00087885384
2022-12-09,0.00089983555
2022-12-10,0.0009030008
2022-12-11,0.0007282078
2022-12-12,0.00062313204
2022-12-13,0.0006331901
2022-12-14,0.0009404218
2022-12-15,0.0011486626
2022-12-16,0.0010359874
2022-12-17,0.0012569656
2022-12-18,0.0010744949
2022-12-19,0.0008626027
2022-12-20,0.00084386824
2022-12-21,0.00091046427
2022-12-22,0.00079601206
2022-12-23,0.0008167671
2022-12-24,0.0007684816
2022-12-25,0.0006046749
2022-12-26,0.0006544804
2022-12-27,0.00060491083
2022-12-28,0.0005761279
2022-12-29,0.0006461132
2022-12-30,0.0006471795
2022-12-31,0.000612554
2023-01-01,0.0005342083
2023-01-02,0.00046680518
2023-01-03,0.00046455933
2023-01-04,0.00044710012
2023-01-05,0.00050884974
2023-01-06,0.0005000827
2023-01-07,0.0005052393
2023-01-08,0.00044383
2023-01-09,0.00043520945
2023-01-10,0.00050918956
2023-01-11,0.0005515116
2023-01-12,0.0006479709
2023-01-13,0.0009065005
2023-01-14,0.0009808588
2023-01-15,0.0015433474
2023-01-16,0.0013858702
2023-01-17,0.0013714633
2023-01-18,0.0012724204
2023-01-19,0.0014252125
2023-01-20,0.0011453411
2023-01-21,0.0011736051
2023-01-22,0.0013456604
2023-01-23,0.0012439309
2023-01-24,0.001217593
2023-01-25,0.0013043074
2023-01-26,0.0014595017
2023-01-27,0.0012887018
2023-01-28,0.0012000634
2023-01-29,0.0009653748
2023-01-30,0.0010513234
2023-01-31,0.0011649792
2023-02-01,0.001096474
2023-02-02,0.0011210592
2023-02-03,0.0013367817
2023-02-04,0.0012552214
2023-02-05,0.00097634736
2023-02-06,0.0009045169
2023-02-07,0.00089064654
2023-02-08,0.0009570934
2023-02-09,0.00094263296
2023-02-10,0.0011537805
2023-02-11,0.0012245976
2023-02-12,0.0009385824
2023-02-13,0.0008055953
2023-02-14,0.00089492794
2023-02-15,0.0010860395
2023-02-16,0.0011985748
2023-02-17,0.001353285
2023-02-18,0.0013525528
2023-02-19,0.001007523
2023-02-20,0.0009041271
2023-02-21,0.0009147432
2023-02-22,0.0009769552
2023-02-23,0.0010564234
2023-02-24,0.0010896845
2023-02-25,0.0011273526
2023-02-26,0.0009444763
2023-02-27,0.0008081312
2023-02-28,0.00080364203
2023-03-01,0.0008203968
2023-03-02,0.00085670856
2023-03-03,0.00083890936
2023-03-04,0.0009920935
2023-03-05,0.00082276657
2023-03-06,0.00071669684
2023-03-07,0.00066006917
2023-03-08,0.00074654643
2023-03-09,0.00076992565
2023-03-10,0.00091522664
2023-03-11,0.0013011504
2023-03-12,0.0015245546
2023-03-13,0.001708074
2023-03-14,0.0019699647
2023-03-15,0.0022964107
2023-03-16,0.0021269573
2023-03-17,0.0016629045
2023-03-18,0.0016545664
2023-03-19,0.0017007692
2023-03-20,0.0015109906
2023-03-21,0.0015364884
2023-03-22,0.0015625886
2023-03-23,0.0017578024
2023-03-24,0.0016585309
2023-03-25,0.0018025181
2023-03-26,0.0012847859
2023-03-27,0.0011085401
2023-03-28,0.0011148509
2023-03-29,0.0011314173
2023-03-30,0.0010673127
2023-03-31,0.001069149
2023-04-01,0.0010163697
2023-04-02,0.00079255906
2023-04-03,0.00068182783
2023-04-04,0.0008145277
2023-04-05,0.0010015985
2023-04-06,0.0011387621
2023-04-07,0.0010260522
2023-04-08,0.00085879205
2023-04-09,0.0006698892
2023-04-10,0.0006814122
2023-04-11,0.0007301156
2023-04-12,0.0007638207
2023-04-13,0.000895646
2023-04-14,0.0009760639
2023-04-15,0.0013555719
2023-04-16,0.0011233928
2023-04-18,0.0007455599
2023-04-19,0.00063845725
2023-04-21,0.00046372495
2023-04-22,0.0008277492
2023-04-23,0.0008052251
2023-04-24,0.0007588009
2023-04-25,0.0007404479
2023-04-26,0.0007944259
2023-04-27,0.0011349004
2023-04-28,0.0014315072
2023-04-29,0.0011809416
2023-04-30,0.0008618183
2023-05-01,0.0007876635
2023-05-02,0.0008820976
2023-05-03,0.0009003566
2023-05-04,0.00094040524
2023-05-05,0.00084249565
2023-05-06,0.00093378976
2023-05-07,0.0010356826
2023-05-08,0.0009889855
2023-05-09,0.0010817342
2023-05-10,0.0009764363
2023-05-11,0.0011393819
2023-05-12,0.0011392602
2023-05-13,0.001184715
2023-05-14,0.0009698485
2023-05-15,0.0007982151
2023-05-16,0.000777914
2023-05-17,0.0007370886
2023-05-18,0.000721912
2023-05-19,0.00073315843
2023-05-20,0.0007047644
2023-05-21,0.0005800261
2023-05-22,0.0005070276
2023-05-23,0.0005070714
2023-05-24,0.0005656086
2023-05-25,0.0006368771
2023-05-26,0.0006902635
2023-05-27,0.00064155116
2023-05-28,0.00055552635
2023-05-29,0.0005992194
2023-05-30,0.00062836654
2023-05-31,0.0006277595
2023-06-01,0.0006361987
2023-06-02,0.0006626299
2023-06-03,0.000655044
2023-06-04,0.0005558451
2023-06-05,0.00050200475
2023-06-06,0.00060950435
2023-06-07,0.00072847906
2023-06-08,0.00079879153
2023-06-09,0.0007087907
2023-06-10,0.0006085184
2023-06-11,0.00073044153
2023-06-12,0.00074353383
2023-06-13,0.00076458126
2023-06-14,0.0007752397
2023-06-15,0.0009567927
2023-06-16,0.00092651765
2023-06-17,0.0008686045
2023-06-18,0.00086474384
2023-06-19,0.0007495845
2023-06-20,0.0007084501
2023-06-21,0.0007522923
2023-06-22,0.00090525864
2023-06-23,0.00095135026
2023-06-24,0.0009918521
2023-06-25,0.0008494067
2023-06-26,0.00080749637
2023-06-27,0.0008678788
2023-06-28,0.0008633451
2023-06-29,0.0008658641
2023-06-30,0.0007950766
2023-07-01,0.0010445819
2023-07-02,0.0008762933
2023-07-03,0.00084235665
2023-07-04,0.00082429964
2023-07-05,0.0007215352
2023-07-06,0.000673146
2023-07-07,0.00075081043
2023-07-08,0.00078562374
2023-07-09,0.0006575946
2023-07-10,0.0005661769
2023-07-11,0.00057367305
2023-07-12,0.0005532614
2023-07-13,0.00056635134
2023-07-14,0.0007154465
2023-07-15,0.0008762177
2023-07-16,0.0007096047
2023-07-17,0.0005805162
2023-07-18,0.00059454486
2023-07-19,0.00062090106
2023-07-20,0.0006255659
2023-07-21,0.0006125216
2023-07-22,0.0005515445
2023-07-23,0.00053627614
2023-07-24,0.0005205356
2023-07-25,0.0005693971
2023-07-26,0.00054205424
2023-07-27,0.0005268602
2023-07-28,0.00049110356
2023-07-29,0.00043667745
2023-07-30,0.000373107
2023-07-31,0.00036205907
2023-08-01,0.000375998
2023-08-02,0.00045178965
2023-08-03,0.00051412295
2023-08-04,0.00051086495
2023-08-05,0.0004892608
2023-08-06,0.0004103549
2023-08-07,0.00035281025
2023-08-08,0.00036860004
2023-08-09,0.00040888705
2023-08-10,0.00041790088
2023-08-11,0.00039697628
2023-08-12,0.000369299
2023-08-13,0.00031105804
2023-08-14,0.00028638443
2023-08-15,0.00029236448
2023-08-16,0.0003181271
2023-08-17,0.00035396623
2023-08-18,0.0006119838
2023-08-19,0.00085239945
2023-08-20,0.00073510583
