time,forecast
2022-04-27,0.0011286166124019
2022-04-28,0.0008624208344982
2022-04-29,0.0013267235541402
2022-04-30,0.0011618015653149
2022-05-01,0.0009245450027219
2022-05-02,0.0009714270657173
2022-05-03,0.0009220421109743
2022-05-04,0.0009240654315303
2022-05-05,0.0010447769269039
2022-05-06,0.0010209876181741
2022-05-07,0.001212965111573
2022-05-08,0.000955404498853
2022-05-09,0.0013373043736731
2022-05-10,0.0019077075677514
2022-05-11,0.0027542767038438
2022-05-12,0.0046447361074229
2022-05-13,0.0076565681143446
2022-05-14,0.0059547131553826
2022-05-15,0.0034977364424849
2022-05-16,0.0030979374561308
2022-05-17,0.0026407226659597
2022-05-18,0.0024215426215032
2022-05-19,0.0019053607602841
2022-05-20,0.0015962523063997
2022-05-21,0.0015854345154168
2022-05-22,0.0011564332940656
2022-05-23,0.0012518856969529
2022-05-24,0.0014053116540195
2022-05-25,0.0012554814717393
2022-05-26,0.0012997287230116
2022-05-27,0.0019880494507535
2022-05-28,0.0021791451324797
2022-05-29,0.0015675368057962
2022-05-30,0.0016039601333294
2022-05-31,0.0018629429671504
2022-06-01,0.0014696208778788
2022-06-02,0.0018641440220526
2022-06-03,0.0014406357180115
2022-06-04,0.0015044809133251
2022-06-05,0.0012475568627566
2022-06-06,0.0012477309318789
2022-06-07,0.0014429790573336
2022-06-08,0.0019044855305984
2022-06-09,0.0010941656235169
2022-06-10,0.001235403292191
2022-06-11,0.0016622278463212
2022-06-12,0.0025978023543938
2022-06-13,0.00337719081429
2022-06-14,0.007191842819083
2022-06-15,0.0048856971412778
2022-06-16,0.0066195468413275
2022-06-17,0.0062416650875208
2022-06-18,0.0049814676149795
2022-06-19,0.0057644866172173
2022-06-20,0.0067526603216336
2022-06-21,0.0065746203392085
2022-06-22,0.0048836602960351
2022-06-23,0.0027071808781172
2022-06-24,0.0024929048656384
2022-06-25,0.002644983006397
2022-06-26,0.0025032894975315
2022-06-27,0.0022125916641235
2022-06-28,0.0019652309992258
2022-06-29,0.0018215573841754
2022-06-30,0.0023088622840928
2022-07-01,0.002533973880469
2022-07-02,0.002847785508079
2022-07-03,0.0023053096798115
2022-07-04,0.002305284596388
2022-07-05,0.0023517429522602
2022-07-06,0.0024175474348654
2022-07-07,0.0022902182029592
2022-07-08,0.0020160018647162
2022-07-09,0.0019884070781708
2022-07-10,0.0015451643109437
2022-07-11,0.0014577316826522
2022-07-12,0.0014921374861313
2022-07-13,0.0015281457124163
2022-07-14,0.00210094436846
2022-07-15,0.0018157727315686
2022-07-16,0.0026152701635994
2022-07-17,0.0029671940661643
2022-07-18,0.0029086512502822
2022-07-19,0.0036464285784582
2022-07-20,0.0031994448933792
2022-07-21,0.0032182180996972
2022-07-22,0.0030707209505726
2022-07-23,0.0028515160554668
2022-07-24,0.0026078284547968
2022-07-25,0.0023513902239951
2022-07-26,0.002058575856949
2022-07-27,0.0024442041014315
2022-07-28,0.0028210979148814
2022-07-29,0.0031667220552766
2022-07-30,0.0035120450682092
2022-07-31,0.0028984247217664
2022-08-01,0.0020527337236756
2022-08-02,0.0019099923020099
2022-08-03,0.0017451691197408
2022-08-04,0.0018180529712752
2022-08-05,0.0015382582769485
2022-08-06,0.0016625732201513
2022-08-07,0.0012635974486832
2022-08-08,0.0012363465593979
2022-08-09,0.0011932241574051
2022-08-10,0.0012344957359099
2022-08-11,0.001787192047554
2022-08-12,0.0012884470022434
2022-08-13,0.0015109449221903
2022-08-14,0.0013693691207082
2022-08-15,0.0013548294058909
2022-08-16,0.001549879469348
2022-08-17,0.0011642624359858
2022-08-18,0.0013500110962466
2022-08-19,0.0013974009738368
2022-08-20,0.001803705327887
2022-08-21,0.0018041523413442
2022-08-22,0.0017547113641155
2022-08-23,0.0022064817463747
2022-08-24,0.0019257763757551
2022-08-25,0.0015865294328105
2022-08-26,0.0014424110611849
2022-08-27,0.0013772880498363
2022-08-28,0.0015066057151243
2022-08-29,0.0016578257422291
2022-08-30,0.0017012745839902
2022-08-31,0.0026364784864971
2022-09-01,0.0023084064660466
2022-09-02,0.0019943862594593
2022-09-03,0.0017748215189312
2022-09-04,0.0015570404116356
2022-09-05,0.0012764142520637
2022-09-06,0.0013237297540506
2022-09-07,0.0014360316882999
2022-09-08,0.001511965093695
2022-09-09,0.0017161459299178
2022-09-10,0.0015413944532999
2022-09-11,0.0014132341597905
2022-09-12,0.0014373651382199
2022-09-13,0.0017342840745989
2022-09-14,0.002095287206003
2022-09-15,0.0021000810788343
2022-09-16,0.0024249149970063
2022-09-17,0.0024651961565162
2022-09-18,0.0018822192480918
2022-09-19,0.0019187483838788
2022-09-20,0.0019022355388563
2022-09-21,0.0023204966640753
2022-09-22,0.0021509515546001
2022-09-23,0.0019441508178183
2022-09-24,0.0021412094761275
2022-09-25,0.0024113605831557
2022-09-26,0.0019644704035321
2022-09-27,0.0023296999386996
2022-09-28,0.0015320095418365
2022-09-29,0.0014366890332273
2022-09-30,0.001705930663829
2022-10-01,0.0016538179199138
2022-10-02,0.0011686876976996
2022-10-03,0.0011708748305852
2022-10-04,0.0011956412385126
2022-10-05,0.0010099564543822
2022-10-06,0.0008540864341462
2022-10-07,0.0008181592256864
2022-10-08,0.0006770288339585
2022-10-09,0.0005763998892029
2022-10-10,0.000439950489792
2022-10-11,0.000466121293132
2022-10-12,0.0004734628073686
2022-10-13,0.0006180602534365
2022-10-14,0.0012128222531554
2022-10-15,0.0012510205374811
2022-10-16,0.0007795746516201
2022-10-17,0.0007287468627185
2022-10-18,0.0006579577070952
